,unique_ID,experiment,position,track,cell_id,parent,max_slope,appearance_time,time_of_max_slope,start_inc,start_idx_var_value,y_pos_start_inc,y_pos_appearance,gfp_on,end_inc,end_idx_var_value,born_on,lifetime,slope_th,max_gfp,max_gfp_time,min_post_max,min_time_post_max,switch_like,becomes_positive,duration,magnitude_inc,category,long_enough_time,parent_start_inc
53,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,6,3,,900,,,,,146.0577,,,,True,37,0.04,9.521397590637207,1080.0,9.521397590637207,1080.0,False,False,,,,False,
54,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,7,1,,895,,,,,45.71795,,,,True,38,0.04,9.762518882751465,1015.0,9.650056838989258,1080.0,False,False,,,,False,195
55,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,8,4,,920,,,,,82.419754,,,,True,33,0.04,9.556008338928223,1080.0,9.556008338928223,1080.0,False,False,,,,False,
56,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,9,2,,1050,,,,,146.75,,,,True,7,0.04,9.273941040039062,1070.0,9.222697257995605,1080.0,False,False,,,,False,205
57,20240809__XY10_crop12__Track_15,20240809,XY10_crop12,Track_15,10,7,,1055,,,,,71.43662,,,,True,6,0.04,9.64034652709961,1065.0,9.564769744873047,1080.0,False,False,,,,False,
58,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,1,0,0.11858749389648438,0,460,450,6.692084,28.344828,23.391891,500,560.0,7.8100824,False,217,0.04,9.21933364868164,1060.0,9.156553268432617,1080.0,True,True,110.0,1.1179986,switch,True,
59,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,2,1,0.19895267486572266,330,515,510,7.0213814,52.975307,38.183334,520,600.0,8.426684,False,151,0.04,9.575145721435547,1080.0,9.575145721435547,1080.0,True,True,90.0,1.405303,switch,True,450
60,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,3,1,,480,,,,,36.86207,,,,True,121,0.04,9.781978607177734,925.0,9.529060363769531,1080.0,False,False,,,,True,450
61,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,4,2,0.069183349609375,485,700,515,7.1759996,69.111115,64.24286,530,600.0,7.9546065,False,120,0.04,9.369592666625977,975.0,9.172257423400879,1045.0,True,True,85.0,0.7786069,switch,True,510
62,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,5,4,,600,,,,,94.52459,,,,True,97,0.04,9.680656433105469,955.0,9.588753700256348,1050.0,False,False,,,,True,515
63,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,6,2,,635,,,,,77.632355,,,,True,90,0.04,9.734299659729004,1075.0,9.717720031738281,1080.0,False,False,,,,True,510
64,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,7,3,,755,,,,,62.21687,,,,True,66,0.04,9.579187393188477,865.0,9.265711784362793,1080.0,False,False,,,,False,
65,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,8,1,,805,,,,,41.882355,,,,True,56,0.04,9.804238319396973,1080.0,9.804238319396973,1080.0,False,False,,,,False,450
66,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,9,6,,840,,,,,124.507935,,,,True,49,0.04,9.622075080871582,985.0,9.514805793762207,1080.0,False,False,,,,False,
67,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,10,5,,860,,,,,164.56061,,,,True,45,0.04,9.671723365783691,1080.0,9.671723365783691,1080.0,False,False,,,,False,
68,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,11,2,,880,,,,,111.75949,,,,True,41,0.04,9.993282318115234,1080.0,9.993282318115234,1080.0,False,False,,,,False,510
69,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,12,4,,945,,,,,199.0641,,,,True,28,0.04,9.638609886169434,1075.0,9.632378578186035,1080.0,False,False,,,,False,515
70,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,13,7,,950,,,,,102.67391,,,,True,27,0.04,9.39582347869873,950.0,9.310457229614258,1000.0,False,False,,,,False,
71,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,14,8,,945,,,,,53.650795,,,,True,28,0.04,9.66362190246582,1075.0,9.655389785766602,1080.0,False,False,,,,False,
72,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,15,11,,970,,,,,158.96721,,,,True,23,0.04,9.807416915893555,1075.0,9.794676780700684,1080.0,False,False,,,,False,
73,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,16,3,,995,,,,,85.77612,,,,True,18,0.04,9.693568229675293,995.0,9.305831909179688,1080.0,False,False,,,,False,
74,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,17,2,,1015,,,,,152.7377,,,,True,14,0.04,9.574520111083984,1080.0,9.574520111083984,1080.0,False,False,,,,False,510
75,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,18,9,,1035,,,,,240.60869,,,,True,10,0.04,9.527483940124512,1035.0,9.425935745239258,1065.0,False,False,,,,False,
76,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,19,10,,1080,,,,,372.9565,,,,True,1,0.04,9.600624084472656,1080.0,9.600624084472656,1080.0,False,False,,,,False,
77,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,20,1,,1065,,,,,44.92771,,,,True,4,0.04,9.384798049926758,1065.0,9.379491806030273,1075.0,False,False,,,,False,450
78,20240809__XY10_crop11__Track_8,20240809,XY10_crop11,Track_8,21,6,,1080,,,,,241.73418,,,,True,1,0.04,9.689675331115723,1080.0,9.689675331115723,1080.0,False,False,,,,False,
79,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,1,0,0.16630792617797852,0,415,400,6.541511,25.786516,27.693548,430,595.0,8.975504,False,217,0.04,9.437024116516113,770.0,9.168198585510254,915.0,True,True,195.0,2.4339929,switch,True,
80,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,2,1,0.11942911148071289,320,545,540,7.152791,44.309277,38.98611,550,620.0,8.217798,False,153,0.04,9.32024097442627,1080.0,9.32024097442627,1080.0,True,True,80.0,1.0650072,switch,True,400
81,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,3,2,,685,,,,,59.554054,,,,True,80,0.04,9.558858871459961,1070.0,9.529302597045898,1080.0,False,False,,,,True,540
82,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,4,1,,825,,,,,43.987015,,,,True,52,0.04,9.437077522277832,825.0,8.784111022949219,965.0,False,False,,,,False,400
83,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,5,1,,940,,,,,37.783333,,,,True,29,0.04,9.504302978515625,1045.0,9.375120162963867,1080.0,False,False,,,,False,400
84,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,6,3,,950,,,,,106.94382,,,,True,27,0.04,9.518413543701172,1080.0,9.518413543701172,1080.0,False,False,,,,False,
85,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,7,2,,1045,,,,,91.70886,,,,True,8,0.04,9.352056503295898,1050.0,9.268829345703125,1080.0,False,False,,,,False,540
86,20240809__XY10_crop7__Track_11,20240809,XY10_crop7,Track_11,8,4,,1060,,,,,67.13158,,,,True,5,0.04,8.931353569030762,1065.0,8.906574249267578,1080.0,False,False,,,,False,
87,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,1,0,0.1647963523864746,0,645,620,6.616065,29.524271,26.969696,645,815.0,9.157045,False,217,0.04,9.81432819366455,1080.0,9.81432819366455,1080.0,True,True,195.0,2.5409803,switch,True,
88,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,2,1,0.04459238052368164,275,785,790,7.6757007,300.0122,46.822224,710,790.0,7.6757007,False,108,0.04,7.739359378814697,810.0,7.739359378814697,810.0,False,True,0.0,0.0,gradual_on,True,620
89,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,3,2,0.10742473602294922,355,560,515,6.979145,122.375,67.14706,545,645.0,8.579166,False,96,0.04,8.828933715820312,725.0,8.692658424377441,810.0,True,True,130.0,1.6000214,switch,True,790
90,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,4,1,0.16409635543823242,360,710,700,7.0258346,136.8718,44.15942,715,815.0,8.943158,False,145,0.04,9.683754920959473,1070.0,9.637262344360352,1080.0,True,True,115.0,1.9173236,switch,True,620
91,20240809__XY10_crop6__Track_0,20240809,XY10_crop6,Track_0,5,4,0.20552778244018555,455,735,715,7.0989265,185.1129,67.203125,725,830.0,9.167015,False,111,0.04,9.389601707458496,975.0,9.327055931091309,1005.0,True,True,115.0,2.0680885,switch,True,700
