,unique_ID,experiment,channel_width,last_valid_cell_time,first_valid_cell_time,position,track,cell_id,parent,cycle,start_time,start_length,end_time,end_length,cycle_duration,total_growth,avg_elong_rate
70,20240809__XY10_crop13__Track_4,20240809,1.3,960,695,XY10_crop13,Track_4,16,2,0,695,2.2703521251678467,865,5.076662063598633,170,2.806309938430786,0.016507705520181094
71,20240809__XY10_crop13__Track_4,20240809,1.3,960,695,XY10_crop13,Track_4,16,2,1,870,2.629087209701538,935,3.79011869430542,65,1.1610314846038818,0.01786202284005972
72,20240809__XY10_crop13__Track_4,20240809,1.3,960,695,XY10_crop13,Track_4,16,2,2,940,2.0181427001953125,960,1.7681910991668701,20,-0.24995160102844238,-0.01249758005142212
73,20240809__XY10_crop13__Track_4,20240809,1.3,880,710,XY10_crop13,Track_4,17,5,0,710,1.5216108560562134,880,3.2733163833618164,170,1.751705527305603,0.010304150160621195
74,20240809__XY10_crop13__Track_4,20240809,1.3,1035,710,XY10_crop13,Track_4,18,7,0,710,1.8106904029846191,1035,4.307690620422363,325,2.497000217437744,0.007683077592116136
75,20240809__XY10_crop13__Track_4,20240809,1.3,785,720,XY10_crop13,Track_4,19,10,0,720,2.37227725982666,785,2.6129674911499023,65,0.2406902313232422,0.0037029266357421877
76,20240809__XY10_crop13__Track_4,20240809,1.3,1080,750,XY10_crop13,Track_4,20,1,0,750,1.8613166809082031,1035,4.579617500305176,285,2.7183008193969727,0.009537897611919203
77,20240809__XY10_crop13__Track_4,20240809,1.3,1080,750,XY10_crop13,Track_4,20,1,1,1040,2.179196834564209,1080,2.680018663406372,40,0.5008218288421631,0.012520545721054077
78,20240809__XY10_crop13__Track_4,20240809,1.3,1080,765,XY10_crop13,Track_4,21,12,0,765,1.7681910991668701,1080,3.9537954330444336,315,2.1856043338775635,0.006938426456754169
79,20240809__XY10_crop13__Track_4,20240809,1.3,1080,805,XY10_crop13,Track_4,22,8,0,805,1.8928284645080566,980,3.5696778297424316,175,1.676849365234375,0.009581996372767857
80,20240809__XY10_crop13__Track_4,20240809,1.3,1080,805,XY10_crop13,Track_4,22,8,1,985,1.7344162464141846,1080,2.428600311279297,95,0.6941840648651123,0.007307200682790655
81,20240809__XY10_crop13__Track_4,20240809,1.3,1080,820,XY10_crop13,Track_4,23,11,0,820,2.0181427001953125,1080,4.082082748413086,260,2.0639400482177734,0.007938230954683744
82,20240809__XY10_crop13__Track_4,20240809,1.3,925,870,XY10_crop13,Track_4,24,16,0,870,2.6514899730682373,925,3.3899850845336914,55,0.7384951114654541,0.013427183844826438
83,20240809__XY10_crop13__Track_4,20240809,1.3,970,870,XY10_crop13,Track_4,25,2,0,870,2.6514899730682373,970,4.192373752593994,100,1.5408837795257568,0.015408837795257568
84,20240809__XY10_crop13__Track_4,20240809,1.3,1080,900,XY10_crop13,Track_4,26,14,0,900,1.8928284645080566,1080,3.4197659492492676,180,1.526937484741211,0.00848298602634006
85,20240809__XY10_crop13__Track_4,20240809,1.3,945,940,XY10_crop13,Track_4,27,16,0,940,1.8613166809082031,945,1.9886175394058228,5,0.12730085849761963,0.025460171699523925
86,20240809__XY10_crop13__Track_4,20240809,1.3,1080,985,XY10_crop13,Track_4,28,22,0,985,2.0181427001953125,1080,2.428600311279297,95,0.4104576110839844,0.004320606432462994
87,20240809__XY10_crop13__Track_4,20240809,1.3,995,985,XY10_crop13,Track_4,29,2,0,985,2.6514899730682373,995,2.680018663406372,10,0.028528690338134766,0.0028528690338134764
88,20240809__XY10_crop13__Track_4,20240809,1.3,1080,1030,XY10_crop13,Track_4,30,1,0,1030,2.7790822982788086,1080,3.3143625259399414,50,0.5352802276611328,0.010705604553222656
