,unique_ID,experiment,position,track,cell_id,min_slope_ruby,time_of_min_slope_ruby,lifetime,mean_ruby_lifetime,max_ruby,max_ruby_time
177,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,9,-0.023528099060058594,5,34,8.983234,9.054792404174805,1080.0
178,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,10,-0.022020339965820312,5,30,8.99707,9.109575271606445,1075.0
179,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,11,-0.022139549255371094,20,28,8.8471775,8.902608871459961,1070.0
180,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,12,-0.0340576171875,35,28,8.837876,8.924539566040039,1070.0
181,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,13,-0.02707386016845703,55,22,8.6953745,8.758746147155762,1080.0
182,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,14,-0.027849197387695312,30,19,8.973445,9.0241060256958,1080.0
183,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,15,-0.029387474060058594,15,14,9.029078,9.082710266113281,1015.0
184,20240809__XY09_crop3__Track_16,20240809,XY09_crop3,Track_16,16,-0.019570350646972656,25,9,8.771566,8.791150093078613,1050.0
185,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,1,-0.07644176483154297,795,217,8.858376,9.245365142822266,185.0
186,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,2,-0.040203094482421875,15,168,8.911648,9.352776527404785,245.0
187,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,3,-0.04079437255859375,375,119,8.952851,9.38894271850586,1080.0
188,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,4,-0.04216957092285156,15,107,8.763717,8.953656196594238,1080.0
189,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,5,-0.043900489807128906,5,107,8.815991,9.009910583496094,550.0
190,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,6,-0.03309917449951172,75,77,8.8396015,8.97716236114502,1065.0
191,20240809__XY09_crop2__Track_5,20240809,XY09_crop2,Track_5,7,-0.03595733642578125,375,76,8.914124,9.139323234558105,1065.0
